;AAAA;SEMESTRE;N_VICTIMAS;anio;poblacion;tasa;tasa_anterior;variacion_tasa
10;2021;1;55;2021;3078836;1.7863894017089574;1.625674736299301;9.89
11;2021;2;42;2021;3078836;1.3641519067595675;1.7863894017089574;-23.64
